product,process,eqp,cost,ct,oee,pass,option
Product_59,HeatStaking,HeatStake_07,5.70,60.00,1.00,1.00,1.00
Product_59,HeatStaking,HeatStake_08,6.00,55.00,1.00,1.00,2.00
Product_59,Testing,Tester_07,2.90,36.00,1.00,1.00,1.00
Product_59,Testing,Tester_08,3.50,32.00,1.00,1.00,2.00
Product_60,HeatStaking,HeatStake_07,5.70,60.00,1.00,1.00,1.00
Product_60,HeatStaking,HeatStake_08,6.00,55.00,1.00,1.00,2.00
Product_60,Testing,Tester_07,2.90,36.00,1.00,1.00,1.00
Product_60,Testing,Tester_08,3.50,32.00,1.00,1.00,2.00
Product_57,HeatStaking,HeatStake_06,7.50,50.00,1.00,1.00,1.00
Product_57,HeatStaking,HeatStake_09,7.90,44.00,1.00,1.00,2.00
Product_57,HeatStaking,HeatStake_08,7.30,65.00,1.00,1.00,3.00
Product_57,HeatStaking,HeatStake_07,7.30,72.00,1.00,1.00,4.00
Product_57,Testing,Tester_06,2.50,48.00,1.00,1.00,1.00
Product_57,Testing,Tester_09,3.00,41.00,1.00,1.00,2.00
Product_57,Testing,Tester_08,2.90,60.00,1.00,1.00,3.00
Product_57,Testing,Tester_07,2.70,52.00,1.00,1.00,4.00
Product_58,HeatStaking,HeatStake_06,7.50,50.00,1.00,1.00,1.00
Product_58,HeatStaking,HeatStake_09,7.90,44.00,1.00,1.00,2.00
Product_58,HeatStaking,HeatStake_08,7.30,65.00,1.00,1.00,3.00
Product_58,HeatStaking,HeatStake_07,7.30,72.00,1.00,1.00,4.00
Product_58,Testing,Tester_06,2.50,48.00,1.00,1.00,1.00
Product_58,Testing,Tester_09,3.00,41.00,1.00,1.00,2.00
Product_58,Testing,Tester_08,2.90,60.00,1.00,1.00,3.00
Product_58,Testing,Tester_07,2.70,52.00,1.00,1.00,4.00
Product_71,HeatStaking,HeatStake_08,7.60,75.00,1.00,1.00,1.00
Product_71,HeatStaking,HeatStake_07,7.60,75.00,1.00,1.00,2.00
Product_71,Testing,Tester_08,2.60,36.00,1.00,1.00,1.00
Product_71,Testing,Tester_07,2.60,36.00,1.00,1.00,2.00
Product_72,HeatStaking,HeatStake_08,7.60,75.00,1.00,1.00,1.00
Product_72,HeatStaking,HeatStake_07,7.60,75.00,1.00,1.00,2.00
Product_72,Testing,Tester_08,2.60,36.00,1.00,1.00,1.00
Product_72,Testing,Tester_07,2.60,36.00,1.00,1.00,2.00
Product_66,HeatStaking,HeatStake_08,7.00,60.00,1.00,1.00,1.00
Product_66,HeatStaking,HeatStake_07,8.00,65.00,1.00,1.00,2.00
Product_66,Testing,Tester_08,1.50,42.00,1.00,1.00,1.00
Product_66,Testing,Tester_07,1.20,42.00,1.00,1.00,2.00
Product_67,HeatStaking,HeatStake_08,7.00,60.00,1.00,1.00,1.00
Product_67,HeatStaking,HeatStake_07,8.00,65.00,1.00,1.00,2.00
Product_67,Testing,Tester_08,1.50,42.00,1.00,1.00,1.00
Product_67,Testing,Tester_07,1.20,42.00,1.00,1.00,2.00
Product_17,HeatStaking,HeatStake_10,6.80,19.80,1.00,1.00,1.00
Product_17,HeatStaking,HeatStake_07,6.50,21.00,1.00,1.00,2.00
Product_17,HeatStaking,HeatStake_08,5.80,32.00,1.00,1.00,3.00
Product_17,Testing,Tester_10,1.10,12.30,1.00,1.00,1.00
Product_17,Testing,Tester_07,3.00,15.00,1.00,1.00,2.00
Product_17,Testing,Tester_08,2.00,13.00,1.00,1.00,3.00
Product_40,HeatStaking,HeatStake_04,4.60,180.00,1.00,1.00,1.00
Product_40,Testing,Tester_04,2.30,30.50,1.00,1.00,1.00
Product_41,HeatStaking,HeatStake_04,4.60,180.00,1.00,1.00,1.00
Product_41,Testing,Tester_04,2.30,30.50,1.00,1.00,1.00
Product_38,HeatStaking,HeatStake_04,5.30,180.00,1.00,1.00,1.00
Product_38,Testing,Tester_04,2.60,30.50,1.00,1.00,1.00
Product_39,HeatStaking,HeatStake_04,5.30,180.00,1.00,1.00,1.00
Product_39,Testing,Tester_04,2.60,30.50,1.00,1.00,1.00
