product,month,inQty,qtr,timeAvailable,dayAvailable,dayShutDown,process,eqp,cost,ct,oee,pass,eqpQty,eqpTimeAvailable,prodProcess,variable,solver_qty,Remark,hourRequired,hourAvailable,eqpUtilisation,eqpRequired,eqpCapacity,TCost,reportDate
Product_14,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,0.3,24.8,1.0,1.0,26.0,67392000.0,19M06Product_14Pressing,19M06Product_14PressingHydraulicPress_01,0.0,First Optimal,0.0,18720.0,0.0,0.0,1284554.3505133665,0.0,2020-06-25 16:53:37
Product_14,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,1.8,30.0,1.0,1.0,7.0,18144000.0,19M06Product_14Clinching,19M06Product_14ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_14,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,3.6,30.0,1.0,1.0,99.0,256608000.0,19M06Product_14Clinching,19M06Product_14ClinchingClincher_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,3960143.180051119,0.0,2020-06-25 16:53:37
Product_14,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,0.6,24.8,1.0,1.0,99.0,256608000.0,19M06Product_14Pressing,19M06Product_14PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_17,19M06,181431,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_10,6.8,19.8,1.0,1.0,1.0,2592000.0,19M06Product_17HeatStaking,19M06Product_17HeatStakingHeatStake_10,126239.0,First Optimal,694.3145000000001,720.0,0.9643256944444445,0.9643256944444445,130909.0909090909,858425.2,2020-06-25 16:53:37
Product_17,19M06,181431,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_07,6.5,21.0,1.0,1.0,1.0,2592000.0,19M06Product_17HeatStaking,19M06Product_17HeatStakingHeatStake_07,0.0,First Optimal,0.0,720.0,0.0,0.0,40798.83777670165,0.0,2020-06-25 16:53:37
Product_17,19M06,181431,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_08,5.8,32.0,1.0,1.0,1.0,2592000.0,19M06Product_17HeatStaking,19M06Product_17HeatStakingHeatStake_08,55191.5,First Optimal,490.5911111111111,720.0,0.6813765432098765,0.6813765432098765,68704.695181119,320110.7,2020-06-25 16:53:37
Product_17,19M06,181431,19Q2,2592000.0,30.0,0.0,Testing,Tester_10,1.1,12.3,1.0,1.0,1.0,2592000.0,19M06Product_17Testing,19M06Product_17TestingTester_10,181431.0,First Optimal,619.8892500000001,720.0,0.8609572916666668,0.8609572916666668,210731.70731707313,199574.1,2020-06-25 16:53:37
Product_17,19M06,181431,19Q2,2592000.0,30.0,0.0,Testing,Tester_07,3.0,15.0,1.0,1.0,1.0,2592000.0,19M06Product_17Testing,19M06Product_17TestingTester_07,0.0,First Optimal,0.0,720.0,0.0,0.0,62330.12628366848,0.0,2020-06-25 16:53:37
Product_17,19M06,181431,19Q2,2592000.0,30.0,0.0,Testing,Tester_08,2.0,13.0,1.0,1.0,1.0,2592000.0,19M06Product_17Testing,19M06Product_17TestingTester_08,0.0,First Optimal,0.0,720.0,0.0,0.0,,0.0,2020-06-25 16:53:37
