product,cpn,19M06,19M07,19M08,19M09,19M10,19M11,19M12,20M01,20M02,20M03,20M04,20M05,20M06,20M07,20M08,20M09,,,,,,,,,,,,,,,,
Product_69,A2LQ-0000100010320,316480.0000,0.0000,0.0000,139912.0000,54173.0000,68936.0000,67424.0000,67418.0000,62077.0000,65372.0000,64218.0000,66324.0000,63368.0000,62140.0000,36265.0000,30056.0000,,,,,,,,,,,,,,,,
Product_22,QPWG-N734,338.0000,0.0000,0.0000,0.0000,359.0000,81.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_37,QPWG-N740,129851.0000,0.0000,0.0000,44999.0000,33370.0000,41156.0000,39332.0000,39325.0000,36213.0000,34388.0000,41205.0000,38688.0000,36963.0000,36250.0000,21155.0000,17472.0000,,,,,,,,,,,,,,,,
Product_41,QPWG-N744,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_22,A2LQ-0000100010420,0.0000,0.0000,4.0000,82.0000,324.0000,72.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_17,HPWG-N510,181431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_14,QPWG-N527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,251.0000,229.0000,262.0000,281.0000,241.0000,296.0000,231.0000,173.0000,145.0000,,,,,,,,,,,,,,,,
Product_22,QPWG-N663,926.0000,0.0000,0.0000,0.0000,1978.0000,522.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_48,QPWG-N699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,363.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_25,QPWG-N705,0.0000,0.0000,0.0000,8265.0000,13374.0000,3778.0000,7410.0000,7577.0000,6861.0000,11304.0000,3098.0000,7416.0000,7035.0000,7101.0000,4839.0000,0.0000,,,,,,,,,,,,,,,,
Product_22,QPWG-N707,2152.0000,67.0000,11.0000,106.0000,528.0000,528.0000,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_26,QPWG-N711,0.0000,0.0000,0.0000,0.0000,4901.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1299.0000,1762.0000,1677.0000,518.0000,168.0000,,,,,,,,,,,,,,,,
Product_27,QPWG-N712,0.0000,0.0000,0.0000,0.0000,45359.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_28,QPWG-N713,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_29,QPWG-N714,0.0000,0.0000,0.0000,28.0000,51.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_47,QPWG-N698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_79,QPWG-N571,0.0000,0.0000,0.0000,0.0000,1623.0000,0.0000,0.0000,0.0000,0.0000,1571.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_77,QPWG-N572,0.0000,0.0000,0.0000,0.0000,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_46,QPWG-N697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,71.0000,141.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
Product_85,A2LQ-0000200010380,305.0000,0.0000,0.0000,13.0000,50.0000,10.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
