No,Constraint Name,Final Value,Shadow Price,RHS 1,RHS 2,Range 1,Range 2,month,Description
1,_C1,0.0,0.0,0.0,0.0,982827.20565,0.0,19M06,_19M06Product_14PressingHydraulicPress_01 + _19M06Product_14PressingHydraulicPress_Subcon = 0
2,_C10,3416.00000,5.40000,3416.00000,3416.00000,0.0,2.04495e+06,19M06,_19M06Product_22ClinchingClincher_02 + _19M06Product_22ClinchingClincher_Subcon = 3416
3,_C100,1.8144e+07,-.04121,-Inf,1.8144e+07,1.44916e+07,1.92182e+07,19M06,30.0*_19M06Product_14ClinchingClincher_02 + 20.3*_19M06Product_17ClinchingClincher_02 + 124.1*_19M06Product_22ClinchingClincher_02 + 41.4*_19M06Product_25ClinchingClincher_02 + 40.0*_19M06Product_26ClinchingClincher_02 + 40.0*_19M06Product_27ClinchingClincher_02 + 59.0*_19M06Product_28ClinchingClincher_02 + 59.0*_19M06Product_29ClinchingClincher_02 + 36.4*_19M06Product_37ClinchingClincher_02 + 240.0*_19M06Product_41ClinchingClincher_02 + 40.0*_19M06Product_46ClinchingClincher_02 + 40.0*_19M06Product_47ClinchingClincher_02 + 40.0*_19M06Product_48ClinchingClincher_02 + 128.6*_19M06Product_66ClinchingClincher_02 + 128.6*_19M06Product_67ClinchingClincher_02 + 28.1*_19M06Product_69ClinchingClincher_02 + 26.1*_19M06Product_70ClinchingClincher_02 + 30.0*_19M06Product_77ClinchingClincher_02 + 30.0*_19M06Product_79ClinchingClincher_02 + 59.0*_19M06Product_85ClinchingClincher_02 + 59.0*_19M06Product_86ClinchingClincher_02 <= 18144000.0
4,_C101,3.25363e+06,0.0,-Inf,2.56608e+08,4.30294e+06,3.25363e+06,19M06,30.0*_19M06Product_14ClinchingClincher_Subcon + 20.3*_19M06Product_17ClinchingClincher_Subcon + 124.1*_19M06Product_22ClinchingClincher_Subcon + 41.4*_19M06Product_25ClinchingClincher_Subcon + 40.0*_19M06Product_26ClinchingClincher_Subcon + 40.0*_19M06Product_27ClinchingClincher_Subcon + 59.0*_19M06Product_28ClinchingClincher_Subcon + 59.0*_19M06Product_29ClinchingClincher_Subcon + 36.4*_19M06Product_37ClinchingClincher_Subcon + 240.0*_19M06Product_41ClinchingClincher_Subcon + 40.0*_19M06Product_46ClinchingClincher_Subcon + 40.0*_19M06Product_47ClinchingClincher_Subcon + 40.0*_19M06Product_48ClinchingClincher_Subcon + 60.0*_19M06Product_57ClinchingClincher_Subcon + 60.0*_19M06Product_58ClinchingClincher_Subcon + 90.0*_19M06Product_59ClinchingClincher_Subcon + 90.0*_19M06Product_60ClinchingClincher_Subcon + 128.6*_19M06Product_66ClinchingClincher_Subcon + 128.6*_19M06Product_67ClinchingClincher_Subcon + 28.1*_19M06Product_69ClinchingClincher_Subcon + 26.1*_19M06Product_70ClinchingClincher_Subcon + 40.0*_19M06Product_73ClinchingClincher_Subcon + 40.0*_19M06Product_74ClinchingClincher_Subcon + 10.0*_19M06Product_75ClinchingClincher_Subcon + 10.0*_19M06Product_76ClinchingClincher_Subcon + 30.0*_19M06Product_77ClinchingClincher_Subcon + 30.0*_19M06Product_79ClinchingClincher_Subcon + 59.0*_19M06Product_85ClinchingClincher_Subcon + 59.0*_19M06Product_86ClinchingClincher_Subcon <= 256608000.0
5,_C102,0.0,0.0,-Inf,2.56608e+08,12513.20000,0.0,19M06,24.8*_19M06Product_14PressingHydraulicPress_Subcon + 7.2*_19M06Product_17PressingHydraulicPress_Subcon + 372.4*_19M06Product_22PressingHydraulicPress_Subcon + 24.8*_19M06Product_25PressingHydraulicPress_Subcon + 99.3*_19M06Product_26PressingHydraulicPress_Subcon + 99.3*_19M06Product_27PressingHydraulicPress_Subcon + 24.8*_19M06Product_28PressingHydraulicPress_Subcon + 24.8*_19M06Product_29PressingHydraulicPress_Subcon + 24.8*_19M06Product_37PressingHydraulicPress_Subcon + 446.9*_19M06Product_41PressingHydraulicPress_Subcon + 124.1*_19M06Product_46PressingHydraulicPress_Subcon + 124.1*_19M06Product_47PressingHydraulicPress_Subcon + 124.1*_19M06Product_48PressingHydraulicPress_Subcon + 270.0*_19M06Product_57PressingHydraulicPress_Subcon + 270.0*_19M06Product_58PressingHydraulicPress_Subcon + 420.0*_19M06Product_59PressingHydraulicPress_Subcon + 420.0*_19M06Product_60PressingHydraulicPress_Subcon + 300.0*_19M06Product_66PressingHydraulicPress_Subcon + 300.0*_19M06Product_67PressingHydraulicPress_Subcon + 24.8*_19M06Product_69PressingHydraulicPress_Subcon + 24.8*_19M06Product_70PressingHydraulicPress_Subcon + 198.6*_19M06Product_73PressingHydraulicPress_Subcon + 198.6*_19M06Product_74PressingHydraulicPress_Subcon + 74.5*_19M06Product_75PressingHydraulicPress_Subcon + 74.5*_19M06Product_76PressingHydraulicPress_Subcon + 49.7*_19M06Product_77PressingHydraulicPress_Subcon + 49.7*_19M06Product_79PressingHydraulicPress_Subcon + 24.8*_19M06Product_85PressingHydraulicPress_Subcon + 24.8*_19M06Product_86PressingHydraulicPress_Subcon <= 256608000.0
6,_C103,2.49954e+06,0.0,-Inf,2.592e+06,2.9824e+06,2.40411e+06,19M06,19.8*_19M06Product_17HeatStakingHeatStake_10 <= 2592000.0
7,_C104,2.592e+06,-.02821,-Inf,2.592e+06,2.42648e+06,2.80916e+06,19M06,21.0*_19M06Product_17HeatStakingHeatStake_07 + 72.0*_19M06Product_57HeatStakingHeatStake_07 + 72.0*_19M06Product_58HeatStakingHeatStake_07 + 60.0*_19M06Product_59HeatStakingHeatStake_07 + 60.0*_19M06Product_60HeatStakingHeatStake_07 + 65.0*_19M06Product_66HeatStakingHeatStake_07 + 65.0*_19M06Product_67HeatStakingHeatStake_07 <= 2592000.0
8,_C105,2.592e+06,-.03125,-Inf,2.592e+06,2.44257e+06,6.63166e+06,19M06,32.0*_19M06Product_17HeatStakingHeatStake_08 + 65.0*_19M06Product_57HeatStakingHeatStake_08 + 65.0*_19M06Product_58HeatStakingHeatStake_08 + 55.0*_19M06Product_59HeatStakingHeatStake_08 + 55.0*_19M06Product_60HeatStakingHeatStake_08 + 60.0*_19M06Product_66HeatStakingHeatStake_08 + 60.0*_19M06Product_67HeatStakingHeatStake_08 <= 2592000.0
9,_C106,2.2316e+06,0.0,-Inf,2.592e+06,2.2316e+06,0.0,19M06,12.3*_19M06Product_17TestingTester_10 <= 2592000.0
10,_C107,2.25857e+06,0.0,-Inf,2.592e+06,2.25857e+06,1.47742e+06,19M06,15.0*_19M06Product_17TestingTester_07 + 52.0*_19M06Product_57TestingTester_07 + 52.0*_19M06Product_58TestingTester_07 + 36.0*_19M06Product_59TestingTester_07 + 36.0*_19M06Product_60TestingTester_07 + 42.0*_19M06Product_66TestingTester_07 + 42.0*_19M06Product_67TestingTester_07 <= 2592000.0
