No,Variable Name,Final Value,Reduced Cost,Objective Coeficient,Lower Range,Upper Range,month
1,_19M06Product_14ClinchingClincher_02,0.0,3.03626,1.80000,-1.23626,+Inf,19M06
2,_19M06Product_14ClinchingClincher_Subcon,0.0,3.60000,3.60000,0.0,+Inf,19M06
3,_19M06Product_14PressingHydraulicPress_01,0.0,.30000,.30000,0.0,+Inf,19M06
4,_19M06Product_14PressingHydraulicPress_Subcon,0.0,.60000,.60000,0.0,+Inf,19M06
5,_19M06Product_17ClinchingClincher_02,181431.00000,0.0,2.30000,-Inf,3.76346,19M06
6,_19M06Product_17ClinchingClincher_Subcon,0.0,1.46346,4.60000,3.13654,+Inf,19M06
7,_19M06Product_17HeatStakingHeatStake_07,0.0,.29245,6.50000,6.20755,+Inf,19M06
8,_19M06Product_17HeatStakingHeatStake_08,55191.53646,0.0,5.80000,5.34933,6.29363,19M06
9,_19M06Product_17HeatStakingHeatStake_10,126239.46354,0.0,6.80000,5.80000,7.25067,19M06
10,_19M06Product_17HeatStakingHeatStake_Subcon,0.0,4.80000,11.60000,6.80000,+Inf,19M06
11,_19M06Product_17PressingHydraulicPress_01,181431.00000,0.0,1.00000,-Inf,2.00000,19M06
12,_19M06Product_17PressingHydraulicPress_Subcon,0.0,1.00000,2.00000,1.00000,+Inf,19M06
13,_19M06Product_17TestingTester_07,0.0,1.90000,3.00000,1.10000,+Inf,19M06
14,_19M06Product_17TestingTester_08,0.0,.90000,2.00000,1.10000,+Inf,19M06
15,_19M06Product_17TestingTester_10,181431.00000,0.0,1.10000,-Inf,2.00000,19M06
16,_19M06Product_17TestingTester_Subcon,0.0,1.10000,2.20000,1.10000,+Inf,19M06
17,_19M06Product_22ClinchingClincher_02,0.0,2.41401,2.70000,.28599,+Inf,19M06
18,_19M06Product_22ClinchingClincher_Subcon,3416.00000,0.0,5.40000,-Inf,7.81401,19M06
19,_19M06Product_22HeatStakingHeatStake_06,0.0,26.10000,4.50000,-21.60000,+Inf,19M06
20,_19M06Product_22HeatStakingHeatStake_Subcon,3416.00000,0.0,9.00000,-Inf,35.10000,19M06
21,_19M06Product_22PressingHydraulicPress_01,3416.00000,0.0,1.50000,-Inf,3.00000,19M06
22,_19M06Product_22PressingHydraulicPress_Subcon,0.0,1.50000,3.00000,1.50000,+Inf,19M06
23,_19M06Product_22TestingTester_06,3416.00000,0.0,3.00000,-Inf,3.54545,19M06
24,_19M06Product_22TestingTester_Subcon,0.0,.54545,6.00000,5.45455,+Inf,19M06
25,_19M06Product_25ClinchingClincher_02,0.0,4.10604,2.40000,-1.70604,+Inf,19M06
26,_19M06Product_25ClinchingClincher_Subcon,0.0,4.80000,4.80000,0.0,+Inf,19M06
27,_19M06Product_25PressingHydraulicPress_01,0.0,.60000,.60000,0.0,+Inf,19M06
28,_19M06Product_25PressingHydraulicPress_Subcon,0.0,1.20000,1.20000,0.0,+Inf,19M06
29,_19M06Product_26ClinchingClincher_02,0.0,4.34835,2.70000,-1.64835,+Inf,19M06
30,_19M06Product_26ClinchingClincher_Subcon,0.0,5.40000,5.40000,0.0,+Inf,19M06
